14.58	-29.71	1018.70	4200.00	3920.00	-5320.00
11.53	-29.16	1016.63	3850.00	3080.00	-5460.00
11.28	-25.68	1017.60	3430.00	3290.00	-5530.00
12.26	-30.19	1018.94	4970.00	1120.00	-5250.00
10.55	-32.39	1017.48	2870.00	5530.00	-4970.00
10.37	-28.36	1017.24	3920.00	2870.00	-5600.00
9.58	-30.99	1018.15	7210.00	-630.00	-5530.00
12.32	-25.86	1017.36	9380.00	2240.00	-5880.00
9.45	-30.07	1016.08	2590.00	4480.00	-5390.00
9.64	-27.21	1017.85	4200.00	3710.00	-6090.00
7.81	-28.61	1018.03	4060.00	4130.00	-14560.00
-29.71	-36.23	1009.37	3780.00	61950.00	-6930.00
-22.51	-23.85	1003.57	3360.00	58100.00	-5530.00
-59.41	-34.10	1014.06	3850.00	99190.00	-7350.00
-108.70	-6.10	1010.47	210.00	140840.00	5810.00
-153.05	-20.92	1017.79	2730.00	90160.00	-11690.00
-207.34	-21.59	983.87	8260.00	107170.00	-37030.00
-270.47	-26.47	981.61	1540.00	72660.00	-3780.00
-294.57	-12.26	975.09	-3850.00	77070.00	13510.00
-353.49	-23.73	947.09	4200.00	104720.00	-12880.00
-408.40	-35.32	925.67	5950.00	95480.00	-14420.00
-445.18	-26.53	922.26	3920.00	86940.00	-9800.00
-492.70	-31.84	891.15	18690.00	89460.00	-36050.00
-540.22	-35.38	862.60	1400.00	120260.00	-5250.00
-580.41	-43.92	840.40	7560.00	89950.00	-10850.00
-612.93	-33.37	813.86	2170.00	57680.00	-4900.00
-632.20	-34.16	787.94	2590.00	48300.00	-4830.00
-646.72	-33.73	795.44	3080.00	32270.00	-4830.00
-663.50	-32.45	769.27	6230.00	41230.00	-9380.00
-678.02	-36.84	758.72	36470.00	64750.00	-42910.00
-706.01	-41.11	718.40	25270.00	44380.00	-29890.00
-717.36	-32.64	708.15	2800.00	22330.00	-5250.00
-722.12	-35.75	725.60	2660.00	41720.00	-5390.00
-733.65	-34.28	706.75	3220.00	17080.00	-5390.00
-735.11	-33.98	712.42	4410.00	-7560.00	-5740.00
